Time (s),Channel 1 (VOLT),Channel 3 (VOLT)
-1.400000000000000029e-02,-1.984924927999999755e-01,4.466081519999999007e-03
-1.398541666750000023e-02,-2.010050559999999875e-01,4.616835263999999502e-03
-1.397083333500000017e-02,-2.035176191999999995e-01,4.616835263999999502e-03
-1.395625000250000011e-02,-2.110553087999999800e-01,4.466081519999999007e-03
-1.394166667000000005e-02,-2.236181247999999844e-01,4.315327775999999380e-03
-1.392708333749999999e-02,-2.386935039999999730e-01,4.315327775999999380e-03
-1.391250000499999993e-02,-2.412060671999999850e-01,4.315327775999999380e-03
-1.389791667249999987e-02,-2.437186303999999970e-01,4.064071535999999422e-03
-1.388333333999999981e-02,-2.537688831999999617e-01,4.013820287999999258e-03
-1.386875000749999975e-02,-2.638191360000000096e-01,4.064071535999999422e-03
-1.385416667499999969e-02,-2.763819519999999863e-01,4.064071535999999422e-03
-1.383958334249999964e-02,-2.839196415999999945e-01,3.863066543999999630e-03
-1.382500000999999958e-02,-2.864322047999999787e-01,3.863066543999999630e-03
-1.381041667749999952e-02,-2.964824575999999712e-01,3.662061551999998971e-03
-1.379583334499999946e-02,-3.090452736000000034e-01,3.461056559999999178e-03
-1.378125001250000113e-02,-3.190955263999999958e-01,3.310302815999999551e-03
-1.376666668000000107e-02,-3.216080895999999800e-01,3.008795327999998562e-03
-1.375208334750000101e-02,-3.241206527999999643e-01,2.908292831999999967e-03
-1.373750001500000095e-02,-3.341709055999999567e-01,2.606785343999998977e-03
-1.372291668250000089e-02,-3.467337215999999889e-01,2.355529103999999888e-03
-1.370833335000000083e-02,-3.592965375999999655e-01,2.154524111999999228e-03
-1.369375001750000077e-02,-3.618091007999999498e-01,1.752514127999999644e-03
-1.367916668500000071e-02,-3.668342271999999737e-01,1.451006639999998654e-03
-1.366458335250000065e-02,-3.793970431999999504e-01,9.987454079999989048e-04
-1.365000002000000059e-02,-3.919598591999999826e-01,6.469866719999994853e-04
-1.363541668750000053e-02,-4.020101119999999750e-01,4.397169599999924128e-05
-1.362083335500000048e-02,-4.045226751999999593e-01,-6.092945280000011676e-04
-1.360625002250000042e-02,-4.070352383999999990e-01,-1.312812000000001741e-03
-1.359166669000000036e-02,-4.145729279999999517e-01,-1.765073232000001491e-03
-1.357708335750000030e-02,-4.321608703999999523e-01,-2.870600688000001649e-03
-1.356250002500000024e-02,-4.396985599999999605e-01,-3.473615664000001893e-03
-1.354791669250000018e-02,-4.447236863999999845e-01,-4.177133136000000732e-03
-1.353333336000000012e-02,-4.472362495999999688e-01,-5.131906848000002130e-03
-1.351875002750000006e-02,-4.597990655999999454e-01,-6.187183056000002124e-03
-1.350416669500000000e-02,-4.723618815999999776e-01,-6.991203024000001293e-03
-1.348958336249999994e-02,-4.824121343999999700e-01,-7.895725488000000791e-03
-1.347500002999999988e-02,-4.849246975999999543e-01,-8.850499200000000455e-03
-1.346041669749999982e-02,-4.874372607999999940e-01,-9.805272912000000118e-03
-1.344583336499999976e-02,-4.974875135999999864e-01,-1.070979537600000309e-02
-1.343125003249999970e-02,-5.125628928000000029e-01,-1.156406659200000242e-02
-1.341666669999999964e-02,-5.201005824000000111e-01,-1.251884030400000208e-02
-1.340208336749999958e-02,-5.251257087999999795e-01,-1.322235777600000092e-02
-1.338750003499999952e-02,-5.301508351999999480e-01,-1.412688024000000042e-02
-1.337291670250000120e-02,-5.402010879999999959e-01,-1.488064896000000289e-02
-1.335833336999999940e-02,-5.527639039999999726e-01,-1.568466892800000206e-02
-1.334375003750000108e-02,-5.628141568000000206e-01,-1.648868889600000123e-02
-1.332916670500000102e-02,-5.653267199999999493e-01,-1.724245761600000024e-02
-1.331458337250000096e-02,-5.703518463999999177e-01,-1.794597508800000255e-02
-1.330000004000000090e-02,-5.829146624000000054e-01,-1.849873881600000089e-02
-1.328541670750000084e-02,-5.954774783999999821e-01,-1.935301003200000022e-02
-1.327083337500000078e-02,-6.030151679999999903e-01,-2.000627625599999890e-02
-1.325625004250000072e-02,-6.055277311999999190e-01,-2.055903998400000418e-02
-1.324166671000000066e-02,-6.105528575999999985e-01,-2.116205495999999922e-02
-1.322708337750000060e-02,-6.231156735999999752e-01,-2.156406494400000054e-02
-1.321250004500000054e-02,-6.356784895999999518e-01,-2.216707992000000252e-02
-1.319791671250000048e-02,-6.432161791999999600e-01,-2.246858740800000351e-02
-1.318333338000000042e-02,-6.457287423999999998e-01,-2.292084864000000152e-02
-1.316875004750000036e-02,-6.507538687999999683e-01,-2.332285862400000284e-02
-1.315416671500000030e-02,-6.633166847999999449e-01,-2.367461736000000053e-02
-1.313958338250000024e-02,-6.758795007999999216e-01,-2.387562235200000119e-02
-1.312500005000000018e-02,-6.834171903999999298e-01,-2.422738108799999887e-02
-1.311041671750000012e-02,-6.859297535999999695e-01,-2.422738108799999887e-02
-1.309583338500000006e-02,-6.934674431999999777e-01,-2.432788358399999920e-02
-1.308125005250000000e-02,-7.060302591999999544e-01,-2.432788358399999920e-02
-1.306666671999999994e-02,-7.185930751999999311e-01,-2.422738108799999887e-02
-1.305208338749999988e-02,-7.236182015999998995e-01,-2.407662734400000185e-02
-1.303750005499999982e-02,-7.261307647999999393e-01,-2.417712984000000218e-02
-1.302291672249999976e-02,-7.336684543999999475e-01,-2.397612484800000152e-02
-1.300833338999999970e-02,-7.437187071999999954e-01,-2.377511985600000086e-02
-1.299375005749999964e-02,-7.587940863999999008e-01,-2.367461736000000053e-02
-1.297916672499999959e-02,-7.638192127999999803e-01,-2.317210487999999888e-02
-1.296458339249999953e-02,-7.663317759999999090e-01,-2.266959240000000417e-02
-1.295000006000000120e-02,-7.713569023999999885e-01,-2.201632617599999855e-02
-1.293541672749999941e-02,-7.864322816000000049e-01,-2.136305995199999988e-02
-1.292083339500000108e-02,-7.989950975999999816e-01,-2.050878873600000055e-02
-1.290625006250000102e-02,-8.040202239999999501e-01,-1.925250753600000336e-02
-1.289166673000000096e-02,-8.065327871999999898e-01,-1.804647758400000288e-02
-1.287708339750000090e-02,-8.140704767999999980e-01,-1.668969388800000189e-02
-1.286250006500000084e-02,-8.291458559999999034e-01,-1.483039771200000273e-02
-1.284791673250000078e-02,-8.417086719999999911e-01,-1.312185528000000059e-02
-1.283333340000000072e-02,-8.442212351999999198e-01,-1.136306160000000176e-02
-1.281875006750000066e-02,-8.467337983999999595e-01,-9.805272912000000118e-03
-1.280416673500000060e-02,-8.517589247999999280e-01,-8.297735472000002110e-03
-1.278958340250000054e-02,-8.668343039999999444e-01,-6.940951776000001128e-03
-1.277500007000000048e-02,-8.793971199999999211e-01,-5.885675568000001134e-03
-1.276041673750000043e-02,-8.844222464000000006e-01,-4.679645616000000646e-03
-1.274583340500000037e-02,-8.869348095999999293e-01,-4.026379392000001972e-03
-1.273125007250000031e-02,-8.944724991999999375e-01,-3.172108176000000904e-03
-1.271666674000000025e-02,-9.070353151999999142e-01,-2.669595696000000989e-03
-1.270208340750000019e-02,-9.195981311999998908e-01,-2.267585712000001405e-03
-1.268750007500000013e-02,-9.246232575999999703e-01,-1.966078224000000416e-03
-1.267291674250000007e-02,-9.271358207999998990e-01,-1.614319488000000996e-03
-1.265833341000000001e-02,-9.346735103999999072e-01,-1.212309504000001412e-03
-1.264375007749999995e-02,-9.447237631999999552e-01,-9.610532640000005872e-04
-1.262916674499999989e-02,-9.597991423999999716e-01,-7.097970240000014974e-04
-1.261458341249999983e-02,-9.648242687999999401e-01,-5.087920320000008378e-04
-1.260000007999999977e-02,-9.673368319999999798e-01,-3.580382880000003432e-04
-1.258541674749999971e-02,-9.773870847999999167e-01,-2.575357920000017481e-04
-1.257083341499999965e-02,-9.899499007999998934e-01,4.397169599999924128e-05
