Time (s),Channel 1 (VOLT),Channel 3 (VOLT)
-1.600000000000000033e-02,9.246232575999998815e+00,1.014824291199999812e-01
-1.598333333370000053e-02,9.221106943999998862e+00,1.004774041599999779e-01
-1.596666666740000073e-02,9.145730047999999002e+00,1.004774041599999779e-01
-1.595000000110000093e-02,8.944724991999999375e+00,1.004774041599999779e-01
-1.593333333480000114e-02,8.844222463999999562e+00,9.947237919999998845e-02
-1.591666666850000134e-02,8.819096831999999608e+00,9.896986671999997986e-02
-1.590000000220000154e-02,8.743719935999999748e+00,9.997489167999998316e-02
-1.588333333590000174e-02,8.567840512000000075e+00,9.997489167999998316e-02
-1.586666666960000194e-02,8.467337984000000262e+00,1.004774041599999779e-01
-1.585000000329999867e-02,8.417086720000000355e+00,9.997489167999998316e-02
-1.583333333699999887e-02,8.366835455999998672e+00,9.947237919999998845e-02
-1.581666667069999907e-02,8.241207295999998905e+00,9.947237919999998845e-02
-1.580000000439999927e-02,8.090453503999999185e+00,9.947237919999998845e-02
-1.578333333809999947e-02,8.040202239999999279e+00,9.947237919999998845e-02
-1.576666667179999967e-02,7.989950975999999372e+00,9.997489167999998316e-02
-1.575000000549999987e-02,7.914574079999999512e+00,1.009799166399999865e-01
-1.573333333920000007e-02,7.738694655999999839e+00,9.997489167999998316e-02
-1.571666667290000027e-02,7.663317759999999090e+00,9.997489167999998316e-02
-1.570000000660000047e-02,7.613066495999999184e+00,9.997489167999998316e-02
-1.568333334030000067e-02,7.562815231999999277e+00,9.997489167999998316e-02
-1.566666667400000088e-02,7.412061439999999557e+00,1.009799166399999865e-01
-1.565000000770000108e-02,7.286433279999999790e+00,9.997489167999998316e-02
-1.563333334140000128e-02,7.236182015999999884e+00,1.009799166399999865e-01
-1.561666667509999974e-02,7.185930751999999977e+00,1.009799166399999865e-01
-1.560000000879999994e-02,7.085428223999999275e+00,1.004774041599999779e-01
-1.558333334250000014e-02,6.884423167999999649e+00,9.947237919999998845e-02
-1.556666667620000034e-02,6.834171903999999742e+00,1.004774041599999779e-01
-1.555000000990000054e-02,6.783920639999999835e+00,1.004774041599999779e-01
-1.553333334360000074e-02,6.633166847999999227e+00,1.004774041599999779e-01
-1.551666667730000095e-02,6.507538687999999460e+00,9.997489167999998316e-02
-1.550000001100000115e-02,6.432161791999999600e+00,1.014824291199999812e-01
-1.548333334469999961e-02,6.407036159999999647e+00,9.947237919999998845e-02
-1.546666667839999981e-02,6.331659263999999787e+00,9.997489167999998316e-02
-1.545000001210000001e-02,6.180905471999999179e+00,9.947237919999998845e-02
-1.543333334580000021e-02,6.055277311999999412e+00,1.014824291199999812e-01
-1.541666667950000041e-02,6.005026047999999506e+00,9.896986671999997986e-02
-1.540000001320000061e-02,5.979900415999999552e+00,9.947237919999998845e-02
-1.538333334690000082e-02,5.854272255999999786e+00,9.997489167999998316e-02
-1.536666668060000102e-02,5.678392831999999224e+00,1.009799166399999865e-01
-1.535000001430000122e-02,5.628141567999999317e+00,1.009799166399999865e-01
-1.533333334799999968e-02,5.577890303999999411e+00,1.004774041599999779e-01
-1.531666668169999988e-02,5.452262143999999644e+00,9.997489167999998316e-02
-1.530000001540000008e-02,5.276382719999999971e+00,1.009799166399999865e-01
-1.528333334910000028e-02,5.226131456000000064e+00,9.997489167999998316e-02
-1.526666668280000048e-02,5.201005824000000111e+00,1.004774041599999779e-01
-1.525000001650000069e-02,5.125628927999999362e+00,1.004774041599999779e-01
-1.523333335020000089e-02,4.949749503999999689e+00,1.004774041599999779e-01
-1.521666668390000109e-02,4.824121343999999922e+00,9.947237919999998845e-02
-1.520000001759999955e-02,4.798995711999999969e+00,1.009799166399999865e-01
-1.518333335129999975e-02,4.748744448000000062e+00,1.004774041599999779e-01
-1.516666668499999995e-02,4.623116287999999408e+00,9.947237919999998845e-02
-1.515000001870000015e-02,4.472362495999999688e+00,1.004774041599999779e-01
-1.513333335240000035e-02,4.422111231999999781e+00,1.009799166399999865e-01
-1.511666668610000056e-02,4.371859967999999874e+00,9.997489167999998316e-02
-1.510000001980000076e-02,4.221106176000000154e+00,1.004774041599999779e-01
-1.508333335350000096e-02,4.045226751999999593e+00,1.009799166399999865e-01
-1.506666668720000116e-02,3.994975487999999686e+00,9.997489167999998316e-02
-1.505000002089999962e-02,3.969849855999999733e+00,9.997489167999998316e-02
-1.503333335459999982e-02,3.844221695999999966e+00,1.014824291199999812e-01
-1.501666668830000002e-02,3.668342271999999848e+00,1.009799166399999865e-01
-1.500000002200000022e-02,3.618091007999999942e+00,1.004774041599999779e-01
-1.498333335570000042e-02,3.592965375999999988e+00,1.009799166399999865e-01
-1.496666668940000063e-02,3.517588479999999684e+00,1.014824291199999812e-01
-1.495000002310000083e-02,3.341709056000000011e+00,1.009799166399999865e-01
-1.493333335680000103e-02,3.241206527999999754e+00,1.004774041599999779e-01
-1.491666669049999949e-02,3.216080895999999800e+00,9.997489167999998316e-02
-1.490000002419999969e-02,3.165829631999999894e+00,9.997489167999998316e-02
-1.488333335789999989e-02,3.040201471999999683e+00,1.004774041599999779e-01
-1.486666669160000009e-02,2.864322048000000009e+00,9.947237919999998845e-02
-1.485000002530000029e-02,2.814070783999999659e+00,1.004774041599999779e-01
-1.483333335900000050e-02,2.788945151999999705e+00,9.997489167999998316e-02
-1.481666669270000070e-02,2.663316991999999939e+00,1.004774041599999779e-01
-1.480000002640000090e-02,2.487437567999999821e+00,9.997489167999998316e-02
-1.478333336010000110e-02,2.412060671999999961e+00,1.004774041599999779e-01
-1.476666669380000130e-02,2.386935040000000008e+00,1.004774041599999779e-01
-1.475000002749999976e-02,2.311558143999999704e+00,1.009799166399999865e-01
-1.473333336119999996e-02,2.160804351999999984e+00,1.009799166399999865e-01
-1.471666669490000016e-02,2.010050559999999820e+00,9.997489167999998316e-02
-1.470000002860000037e-02,1.984924927999999866e+00,1.009799166399999865e-01
-1.468333336230000057e-02,1.934673663999999960e+00,9.947237919999998845e-02
-1.466666669600000077e-02,1.758794239999999842e+00,1.004774041599999779e-01
-1.465000002970000097e-02,1.633166079999999853e+00,9.947237919999998845e-02
-1.463333336339999943e-02,1.582914815999999947e+00,9.846735423999998515e-02
-1.461666669709999963e-02,1.557789183999999993e+00,1.009799166399999865e-01
-1.460000003079999983e-02,1.381909759999999876e+00,1.004774041599999779e-01
-1.458333336450000003e-02,1.231155967999999934e+00,1.014824291199999812e-01
-1.456666669820000024e-02,1.206030335999999981e+00,1.009799166399999865e-01
-1.455000003190000044e-02,1.180904704000000027e+00,1.004774041599999779e-01
-1.453333336560000064e-02,1.030150911999999863e+00,1.004774041599999779e-01
-1.451666669930000084e-02,9.045227519999999855e-01,1.019849415999999898e-01
-1.450000003300000104e-02,8.040202239999999501e-01,1.014824291199999812e-01
-1.448333336670000124e-02,7.788945919999999967e-01,1.024874540799999845e-01
-1.446666670039999970e-02,7.286433279999999790e-01,9.997489167999998316e-02
